"row_mse_0","row_sds_0","row_mse_0.05","row_sds_0.05","row_mse_0.1","row_sds_0.1","row_mse_0.15","row_sds_0.15","row_mse_0.2","row_sds_0.2","row_mse_0.25","row_sds_0.25","row_mse_0.3","row_sds_0.3","row_mse_0.35","row_sds_0.35","row_mse_0.4","row_sds_0.4","row_mse_0.45","row_sds_0.45","row_mse_0.5","row_sds_0.5","row_mse_0.55","row_sds_0.55","row_mse_0.6","row_sds_0.6","row_mse_0.65","row_sds_0.65","row_mse_0.7","row_sds_0.7","row_mse_0.75","row_sds_0.75","row_mse_0.8","row_sds_0.8","row_mse_0.85","row_sds_0.85","row_mse_0.9","row_sds_0.9","row_mse_0.95","row_sds_0.95","row_mse_1","row_sds_1"
0.000225,3.71830036115395e-05,0.00034375,9.98637803270641e-05,4e-04,0.000112899123651214,0.0006375,0.000177884772884703,0.000625,0.000113066754216661,0.0016,0.000324737656354395,0.00481875,0.00101150636335421,0.0157375,0.0026177958502596,0.06465,0.00567314079810747,0.03623125,0.00521224440275158,0.00465625,0.00111093107363994,0.00141875,0.000242282229355799,0.00070625,0.000168234810276853,0.00044375,8.34728944997214e-05,0.0001375,3.39200262649984e-05,0.0001875,4.21374914039527e-05,0.00014375,3.42384224330951e-05,8.125e-05,2.1124854311852e-05,1e-04,3.16826116156462e-05,3.75e-05,1.49177035359964e-05,1.25e-05,8.79408088351812e-06
0.00018125,2.85030013482543e-05,0.0003375,9.98815586461072e-05,0.00041875,0.000114817254338968,0.0005625,0.000131911213252772,0.00073125,0.000129360497284046,0.0017125,0.000340085495044105,0.00520625,0.00108081930757704,0.0156375,0.00268287833757746,0.06511875,0.00563447360898769,0.03549375,0.00524595725026338,0.00351875,0.000723580059775033,0.00126875,0.000222519825186454,0.00074375,0.000184785698632746,0.000575,0.000135214009195898,0.00011875,3.28744454959573e-05,0.0001875,4.21374914039527e-05,0.000125,2.51259453814803e-05,7.5e-05,2.04124145231932e-05,1e-04,3.16826116156462e-05,3.125e-05,1.36901820973494e-05,1.25e-05,8.79408088351812e-06
0.00018125,2.85030013482543e-05,0.00035,0.000102185709333151,0.0004375,0.000114626369328591,0.0006875,0.000239439185885214,0.00071875,0.000112146962900824,0.0015375,0.000319111871235835,0.00541875,0.00113793957956582,0.01585625,0.0027086051000012,0.07244375,0.00576400287020683,0.03478125,0.00534882025101344,0.00380625,0.000784159732925904,0.00135625,0.000217425644726763,0.0007875,0.000190033390207982,0.00050625,0.000115720936857912,0.000125,3.32385014673944e-05,2e-04,4.24918292799398e-05,0.00014375,3.42384224330951e-05,7.5e-05,2.04124145231932e-05,1e-04,3.16826116156462e-05,3.75e-05,1.49177035359964e-05,1.25e-05,8.79408088351812e-06
0.00016875,2.78872527086546e-05,3e-04,8.99284227156309e-05,0.00044375,0.000112470184039948,0.00074375,0.000243393614108687,0.000675,0.000111549010834618,0.00160625,0.000299443797318504,0.0055,0.00104287808346407,0.01625,0.00297617857140476,0.0641875,0.0057993905603272,0.03861875,0.00558636631071124,0.00415625,0.000815596034065166,0.00143125,0.000243652855544834,0.0008625,0.000176280488444015,0.000475,8.84419001207556e-05,0.00010625,2.35953230042898e-05,0.00019375,4.23196932809531e-05,0.00015,3.45424639853879e-05,6.875e-05,1.96541273584513e-05,0.00010625,3.20971044825171e-05,3.125e-05,1.36901820973494e-05,1.25e-05,8.79408088351812e-06
0.0001875,3.60843918243516e-05,0.0003875,0.000124930536254708,0.0004375,0.000112542079672315,0.0007375,0.000234591440464894,0.0007125,0.000142139362897293,0.0016625,0.000304016152049641,0.00528125,0.00102925848412654,0.017575,0.0032110781253767,0.0724375,0.00615437259867595,0.04039375,0.00566295872865943,0.003575,0.000728223415878907,0.00145625,0.000298493560959602,0.0009375,0.000211808142888652,0.00054375,0.000101928608780257,0.00014375,4.05678988757357e-05,0.00020625,4.26540212676722e-05,0.00014375,3.42384224330951e-05,7.5e-05,2.04124145231932e-05,1e-04,3.16826116156462e-05,3.125e-05,1.36901820973494e-05,1.25e-05,8.79408088351812e-06
0.00018125,2.85030013482543e-05,0.000425,0.000132024829314624,0.00041875,0.000112736493849394,0.00071875,0.000235932326102211,0.00083125,0.000146522990490995,0.0015375,0.000294416153110051,0.005225,0.00101649588729561,0.0162,0.0026044724062949,0.0717625,0.00578575960480086,0.03756875,0.0053192054755182,0.00433125,0.000932002187578718,0.00163125,0.000287839473491736,0.00070625,0.00015956829979034,0.00039375,6.50702563201941e-05,0.00016875,4.1529129061492e-05,0.00021875,4.29490169335173e-05,0.00016875,3.53720753154408e-05,6.25e-05,1.88444590361102e-05,0.0001125,3.24941719716199e-05,3.125e-05,1.36901820973494e-05,1.25e-05,8.79408088351812e-06
0.00018125,4.19450924760965e-05,0.0003875,0.000104272673333143,0.0003625,6.1661035778953e-05,0.000675,0.000230570767418332,0.00080625,0.00014414471500418,0.0017125,0.000322946601740532,0.00575625,0.00112623721951515,0.01804375,0.00312416219830019,0.06781875,0.00596934571832829,0.03230625,0.00478522042512625,0.00311875,0.000579021878021265,0.00155,0.000276453916009102,0.000975,0.00019909834633957,5e-04,9.05928844174349e-05,0.0001125,3.249417197162e-05,0.0001875,4.21374914039527e-05,0.00015625,3.48325268139196e-05,8.75e-05,2.17959430012361e-05,7.5e-05,2.04124145231932e-05,3.125e-05,1.36901820973494e-05,6.25e-06,6.24999999999999e-06
0.0001875,3.60843918243516e-05,0.000375,0.000102062072615966,0.00034375,7.55738776618515e-05,0.00058125,0.000126023273764424,0.00101875,0.000196371560498783,0.00201875,0.000369899552124108,0.005425,0.00103180483237927,0.01749375,0.00278597190245843,0.07365625,0.00588754151773948,0.04385625,0.00607477250867858,0.00416875,0.000876849371372162,0.0016625,0.000274554850916199,0.00075625,0.000177954630113374,0.0004625,8.59531379252202e-05,0.000175,4.17423554968361e-05,0.00021875,4.81466811321446e-05,0.00016875,3.53720753154408e-05,7.5e-05,2.04124145231932e-05,0.00010625,3.20971044825171e-05,1.875e-05,1.07154129998603e-05,6.25e-06,6.24999999999999e-06
0.0001875,3.60843918243516e-05,0.0003875,0.000104272673333143,0.0004125,0.000110675440050189,7e-04,0.000177951304200522,0.00086875,0.000173372436949878,0.0020625,0.000348664932060115,0.0055625,0.00100001972834075,0.01885,0.00292820660804424,0.0731,0.00580187622039351,0.03908125,0.00582301885040715,0.00463125,0.000983813722860115,0.0015875,0.000264184111841524,0.00075625,0.000165549046334989,0.00048125,8.56012418193224e-05,0.00016875,4.1529129061492e-05,2e-04,4.24918292799398e-05,0.00018125,3.58595305929042e-05,9.375e-05,2.24293925801648e-05,1e-04,3.16826116156462e-05,2.5e-05,1.23091490979333e-05,1.25e-05,8.79408088351812e-06
0.00020625,4.26540212676722e-05,0.0004125,0.000112794228038441,0.0004125,7.806247497998e-05,0.00063125,0.000126722662563058,0.00105625,0.00021240249545558,0.0021125,0.000350164553669364,0.0058625,0.00103489389125727,0.017725,0.00304596417038558,0.07155625,0.00601253750460803,0.0389875,0.00595073803355007,0.0040125,0.000727903668077034,0.0016875,0.000297360547912035,0.0007375,0.000141404615029055,0.00045,8.0481505498299e-05,0.00014375,3.42384224330951e-05,0.0002125,4.28063822769031e-05,0.00015625,3.48325268139196e-05,8.125e-05,2.11248543118519e-05,9.375e-05,3.125e-05,3.125e-05,1.36901820973494e-05,1.875e-05,1.07154129998603e-05
