"row_mse_0","row_sds_0","row_mse_0.05","row_sds_0.05","row_mse_0.1","row_sds_0.1","row_mse_0.15","row_sds_0.15","row_mse_0.2","row_sds_0.2","row_mse_0.25","row_sds_0.25","row_mse_0.3","row_sds_0.3","row_mse_0.35","row_sds_0.35","row_mse_0.4","row_sds_0.4","row_mse_0.45","row_sds_0.45","row_mse_0.5","row_sds_0.5"
7.2e-05,1.54449167866148e-05,0.00014,2.74873708374511e-05,0.000244,5.39045171548449e-05,0.000272,6.19885945846965e-05,0.000452,6.93181801622784e-05,0.00084,0.000138388999387651,0.003024,0.000520832899393759,0.030448,0.00438485282569784,0.069476,0.00652520878879548,0.032032,0.00482718122152613,0.011516,0.002631896316769
7.2e-05,1.54449167866148e-05,0.00014,2.74873708374511e-05,0.000244,5.39045171548449e-05,0.000272,6.19885945846965e-05,0.000452,6.93181801622784e-05,0.00084,0.000138388999387651,0.003024,0.000520832899393759,0.030448,0.00438485282569784,0.069476,0.00652520878879548,0.032032,0.00482718122152613,0.011516,0.002631896316769
0.000868,0.000142594147527488,0.00128,0.000231499285510602,0.002756,0.000534631601661321,0.004144,0.00103213060014592,0.008712,0.00217040948517401,0.017932,0.00287837807864713,0.032404,0.00426864156945566,0.055364,0.00601625299005985,0.060252,0.00572672107780974,0.058724,0.00608361321398507,0.037876,0.00490979049111738
0.001552,0.000277785179699361,0.001784,0.000409204006813129,0.004228,0.000895407000737485,0.006184,0.00139492204626334,0.012848,0.00237947642148521,0.027684,0.00392731247454634,0.039364,0.00507550137245752,0.06022,0.00589884939987658,0.065628,0.00497439830989182,0.063264,0.00588695313486707,0.046636,0.00546398779891268
0.001852,0.000438607714561346,0.002468,0.000450007586916963,0.007088,0.00201034962535416,0.008756,0.00126263338729303,0.014076,0.00230236905658656,0.032388,0.0044398906347437,0.063452,0.00632489684987954,0.054276,0.00573581255769134,0.053708,0.00530372952065646,0.071876,0.00662682322844137,0.055444,0.00571797773109806
0.00262,0.000489613329190712,0.004564,0.0011076533753842,0.008484,0.00219530661902048,0.01058,0.00245134553857569,0.01882,0.00312042149445076,0.029088,0.00406031328840522,0.04746,0.00570773531483744,0.072136,0.00654924276909055,0.057432,0.00655788628178688,0.0558,0.00557999456934677,0.052104,0.0055169120919499
0.002416,0.000435585568951484,0.005836,0.00143917029969186,0.006476,0.00141456430098322,0.010476,0.0022277275280864,0.026904,0.0036512518733202,0.043252,0.00532316501887569,0.048148,0.00494929328288393,0.056332,0.005933332121212,0.0699,0.0065756437638524,0.062452,0.00590144417866842,0.054896,0.00525826293858658
0.00386,0.000750905177674642,0.004252,0.00101927532189207,0.008264,0.00145874688162356,0.017676,0.00332901390441037,0.0269,0.00333687266642274,0.028052,0.0042124036373596,0.048976,0.00537823618715732,0.0655,0.00604625503927845,0.061132,0.00611775902722161,0.057336,0.00563908215183566,0.060776,0.00561016917946529
0.008932,0.00175519136485818,0.00506,0.000744745906095807,0.006692,0.00108962942454225,0.015572,0.00248651639809188,0.026756,0.00434423763696976,0.045976,0.00528377220622471,0.068756,0.00709660871063913,0.066116,0.00647356531744231,0.070112,0.00656909957699875,0.053572,0.00594329638153676,0.058148,0.00592710099645874
0.008328,0.00150049559489624,0.00768,0.00133966979196933,0.017216,0.00329544488803879,0.020116,0.00324679071382711,0.030292,0.0048254304628204,0.039328,0.00480937428047526,0.042396,0.00480689570336515,0.065252,0.00644509530534262,0.05972,0.00577474683515226,0.06082,0.00586885461955351,0.047256,0.00520443018742279
0.009876,0.00154246760193863,0.007532,0.00100656519657173,0.010184,0.00159747700067224,0.026436,0.00441526130185251,0.031272,0.00431169189881455,0.046964,0.00516571477448311,0.057112,0.00594064263435286,0.065708,0.00606351794411346,0.065232,0.00649860822395726,0.048724,0.00534729897266183,0.054268,0.0058881426613152
0.009544,0.00144334090557185,0.01654,0.00300751583788873,0.012452,0.00262555370975882,0.018948,0.00337386583412362,0.031384,0.00410284915047033,0.036244,0.00435652310630365,0.054756,0.00562454331614146,0.065332,0.00573439329173038,0.058084,0.00582268720635329,0.055612,0.00588501937897482,0.05286,0.00540584756340649
0.018032,0.00302543923850052,0.016984,0.00294575013855349,0.020996,0.00368827569687539,0.032592,0.00438322045712483,0.03144,0.00433042513134471,0.038164,0.00446302373380255,0.060256,0.00559727933910753,0.056188,0.00539055501724446,0.057036,0.00476859793891562,0.053924,0.00526840997614723,0.051376,0.00576889414327942
0.020996,0.00386974379127366,0.024036,0.00372748500799782,0.024316,0.00359550918550215,0.025756,0.0039735606809068,0.042004,0.00460929406282304,0.05044,0.00569302390756628,0.056764,0.0056755626286312,0.057524,0.00553603495931042,0.048852,0.00519919700093634,0.055772,0.00606744918030267,0.05882,0.00550525735873071
0.029232,0.00453313254457298,0.03152,0.00437456745336501,0.028732,0.00466580790366892,0.026572,0.00377469835038028,0.046092,0.00604207698585762,0.046324,0.00543487784702851,0.056604,0.00506578459626518,0.058684,0.00537723835845468,0.059328,0.00583266421790144,0.050336,0.00520761127503956,0.06114,0.00582523767235243
0.036072,0.00538439009798442,0.049552,0.00575364767567129,0.051596,0.00610108649373539,0.052624,0.00589228105235994,0.048032,0.00550023009252404,0.053132,0.00544477821941223,0.071644,0.00661169553277991,0.051064,0.00564492576648187,0.046124,0.00544681597658928,0.055856,0.00551165382795327,0.05788,0.00570868981412893
0.053332,0.00635338085135971,0.047608,0.00525453602599552,0.045104,0.00526622359471139,0.044704,0.00508736798056686,0.052656,0.00554992188861221,0.063644,0.00649316008729124,0.045732,0.00441119990547477,0.06506,0.00643508407642876,0.046392,0.00507940020319746,0.053072,0.00532132247555895,0.053368,0.00569910623508528
0.054996,0.00554327254836478,0.053264,0.00602265546318921,0.062376,0.00634021271032141,0.056572,0.00594764295559785,0.057536,0.00531932925064502,0.0618,0.00586284861985997,0.066404,0.00644796294196936,0.057784,0.00618965032546388,0.059812,0.00663836770736465,0.049324,0.00543188847120745,0.055884,0.0055287569099841
0.073316,0.00639830607633494,0.06794,0.0062940764199204,0.073928,0.00597711292761773,0.075788,0.00658021388003997,0.059528,0.00595785706170237,0.076468,0.00667427942314238,0.061732,0.00612988850558549,0.071204,0.00630276769732668,0.068852,0.00630963900742668,0.07024,0.00616715837515483,0.065712,0.00581898552024736
0.069932,0.00657175850580237,0.072556,0.00627305128016951,0.072592,0.00633518819409064,0.068384,0.00642822040818154,0.061992,0.00615889529645758,0.067528,0.00669733884736047,0.070992,0.0065068218560728,0.07308,0.00661821545112999,0.069752,0.00681121304848991,0.070608,0.00643517726439936,0.058328,0.00571727527107559
0.078672,0.00628145484016966,0.06046,0.00602841855738554,0.070368,0.0058156616966341,0.06532,0.00584915430302587,0.06868,0.0056501434682777,0.076512,0.0069725512742989,0.06076,0.00573118634923843,0.072708,0.0063825617351523,0.070776,0.00654968101929746,0.055104,0.00537729493783676,0.0786,0.00682165180387663
0.074056,0.00637899081977611,0.065484,0.0059580087379268,0.074568,0.00646936695886737,0.075072,0.00674788557679928,0.05824,0.00660171511232062,0.064136,0.00591398881270228,0.07414,0.00696857796023542,0.070316,0.00625555506180811,0.06744,0.00624923946887891,0.076336,0.00650735892989039,0.05654,0.00595982339918684
